BusinessTravel,Department,EducationField,JobRole,MaritalStatus,AgeBin,AttritionCat,DistanceFromHomeBin,EducationCat,EnvironmentSatisfactionCat,GenderCat,JobInvolvementCat,JobSatisfactionCat,MonthlyIncomeBin,NumCompaniesWorkedBin,OverTimeCat,PercentSalaryHikeBin,RelationshipSatisfactionCat,StockOptionLevelCat,TotalWorkingYearsBin,TrainingTimesLastYearBin,WorkLifeBalanceCat,YearsAtCompanyBin,YearsWithCurrManagerBin,StagnationBin
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Female,High_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,less 10 years_YAC,0-3 years_YWCM,low_Stag
Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,less 10 years_YAC,4-9 years_YWCM,low_Stag
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[28.0, 38.0)_Age",Yes_Attr,medium_Dist,College,Low_Sat,Male,Low_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,less 10 years_YAC,0-3 years_YWCM,low_Stag
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,medium_Dist,College,High_Sat,Male,High_JobInv,Low_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,less 10 years_YAC,0-3 years_YWCM,low_Stag
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[48.0, 58.04)_Age",No_Attr,near_Dist,Master,Low_Sat,Female,Medium_JobInv,Low_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,more 20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,less 10 years_YAC,4-9 years_YWCM,medium_Stag
Travel_Frequently,Research & Development,Medical,Healthcare Representative,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,High_JobInv,High_JobSat,medium_Inc,none_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,more 11 years_YAC,0-3 years_YWCM,low_Stag
Travel_Frequently,Research & Development,Technical Degree,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Master,Very High_Sat,Female,High_JobInv,High_JobSat,medium_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,less 10 years_YAC,0-3 years_YWCM,low_Stag
Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Low_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,less 10 years_YAC,0-3 years_YWCM,low_Stag
Non-Travel,Research & Development,Medical,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,far_Dist,Master,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,more 11 years_YAC,0-3 years_YWCM,high_Stag
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Male,Medium_JobInv,Low_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Low_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,less 10 years_YAC,0-3 years_YWCM,low_Stag
