Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PercentSalaryHike;RelationshipSatisfaction;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsWithCurrManager;Stagnation;KmeansLabels;DbscanLabels;HierarchicalLabels
37;0;Travel_Rarely;Research & Development;4;3;Medical;4;1;3;Healthcare Representative;2;Single;3452;9;0;12;4;0;10;3;2;5;3;4;2;3;0
36;0;Travel_Rarely;Research & Development;5;3;Technical Degree;3;0;2;Healthcare Representative;2;Divorced;9610;2;1;13;4;1;18;2;3;4;4;0;5;-1;0
36;1;Travel_Rarely;Research & Development;11;2;Medical;1;0;1;Healthcare Representative;2;Married;4678;5;0;15;1;0;15;2;1;6;0;0;2;-1;0
24;0;Travel_Rarely;Research & Development;11;2;Medical;3;0;3;Healthcare Representative;1;Married;2725;1;1;12;4;0;6;3;2;6;1;0;2;-1;0
58;0;Travel_Rarely;Research & Development;1;4;Medical;1;1;2;Healthcare Representative;1;Single;10552;3;0;20;3;0;23;3;2;6;6;36;4;-1;0
39;0;Travel_Frequently;Research & Development;1;4;Medical;2;0;3;Healthcare Representative;3;Single;12169;0;0;12;3;0;12;2;3;12;3;0;2;-1;0
36;0;Travel_Frequently;Research & Development;10;4;Technical Degree;4;1;3;Healthcare Representative;3;Married;11591;3;0;12;1;0;10;3;3;2;2;2;5;-1;0
32;0;Travel_Rarely;Research & Development;6;3;Life Sciences;1;0;2;Healthcare Representative;3;Single;7677;2;0;13;4;0;14;2;3;1;1;1;5;0;0
41;0;Non-Travel;Research & Development;25;4;Medical;3;0;3;Healthcare Representative;3;Divorced;6230;1;1;11;3;1;16;3;2;14;1;100;1;-1;3
45;0;Travel_Rarely;Research & Development;7;3;Medical;4;0;2;Healthcare Representative;1;Single;9724;8;0;19;1;0;9;2;1;1;1;0;5;0;0
36;0;Travel_Rarely;Research & Development;20;3;Medical;2;0;1;Healthcare Representative;1;Divorced;3230;2;1;18;2;1;18;4;3;1;1;0;5;0;0
44;0;Travel_Rarely;Research & Development;5;2;Life Sciences;2;0;4;Healthcare Representative;1;Divorced;15505;1;0;12;4;2;6;4;3;3;3;3;0;-1;0
36;0;Travel_Rarely;Research & Development;7;3;Life Sciences;3;1;3;Healthcare Representative;4;Divorced;38989;0;1;11;2;2;6;2;3;6;0;0;3;-1;2
45;0;Travel_Rarely;Research & Development;1;3;Medical;3;1;4;Healthcare Representative;4;Divorced;23333;0;0;17;1;3;19;2;2;5;5;15;0;-1;2
32;0;Travel_Rarely;Research & Development;11;3;Life Sciences;1;1;3;Healthcare Representative;3;Married;3312;1;0;17;2;1;10;3;3;3;3;0;5;1;0
34;0;Travel_Frequently;Research & Development;1;4;Medical;4;1;3;Healthcare Representative;1;Divorced;4444;7;0;16;3;1;16;2;3;11;3;0;2;-1;0
35;0;Travel_Rarely;Research & Development;9;4;Life Sciences;3;0;2;Healthcare Representative;2;Single;10221;9;0;19;3;0;10;3;3;8;0;0;2;-1;0
46;0;Travel_Rarely;Research & Development;18;4;Medical;3;0;3;Healthcare Representative;2;Married;5562;3;1;14;4;2;17;2;3;10;7;42;4;-1;0
41;0;Travel_Rarely;Research & Development;6;3;Life Sciences;3;1;3;Healthcare Representative;4;Divorced;3376;3;0;23;3;1;15;2;1;10;7;40;4;-1;0
36;0;Travel_Rarely;Research & Development;1;4;Life Sciences;3;0;2;Healthcare Representative;2;Married;1081;1;0;22;4;1;18;3;2;1;1;1;5;0;0
55;1;Travel_Rarely;Research & Development;15;3;Medical;1;0;3;Healthcare Representative;4;Married;10239;1;0;11;4;1;10;4;3;1;1;0;5;0;0
26;0;Travel_Rarely;Research & Development;1;3;Life Sciences;2;1;2;Healthcare Representative;4;Single;35075;0;0;14;1;0;6;2;3;6;4;0;3;-1;2
27;0;Travel_Rarely;Research & Development;10;4;Medical;1;1;3;Healthcare Representative;3;Single;3517;3;1;16;3;0;9;2;3;3;3;0;5;1;0
29;0;Travel_Rarely;Research & Development;2;4;Technical Degree;4;1;2;Healthcare Representative;3;Single;2800;1;0;11;1;0;11;3;3;3;3;9;5;-1;0
53;0;Travel_Rarely;Research & Development;2;3;Life Sciences;3;1;2;Healthcare Representative;4;Married;10934;1;0;19;1;3;11;2;3;5;5;25;4;-1;0
36;0;Travel_Frequently;Research & Development;10;3;Medical;3;1;3;Healthcare Representative;3;Married;5257;3;0;19;3;1;18;3;3;9;0;0;2;-1;0
45;0;Non-Travel;Research & Development;28;4;Technical Degree;4;0;2;Healthcare Representative;4;Married;4447;0;0;11;4;3;7;5;4;7;4;0;2;-1;0
36;0;Travel_Rarely;Research & Development;16;3;Life Sciences;4;0;2;Healthcare Representative;2;Single;2660;1;0;19;4;0;11;2;1;2;2;4;5;2;0
48;0;Travel_Rarely;Research & Development;2;4;Other;1;1;2;Healthcare Representative;3;Single;12504;2;1;17;1;0;10;3;3;0;0;0;5;-1;0
36;0;Travel_Rarely;Research & Development;2;3;Life Sciences;4;1;3;Healthcare Representative;4;Married;3291;2;1;14;3;1;18;2;1;7;7;49;4;-1;0
36;0;Travel_Frequently;Research & Development;8;4;Life Sciences;3;1;3;Healthcare Representative;3;Married;2157;1;0;12;4;1;15;5;3;3;3;6;5;1;0
38;0;Travel_Rarely;Research & Development;23;3;Medical;2;0;2;Healthcare Representative;4;Married;4855;0;0;21;2;1;10;2;3;5;5;0;2;3;0
26;0;Travel_Rarely;Research & Development;20;2;Medical;3;0;3;Healthcare Representative;4;Married;2373;0;1;14;2;0;8;2;3;3;3;9;5;-1;0
36;0;Travel_Rarely;Research & Development;14;1;Life Sciences;3;1;3;Healthcare Representative;4;Married;4502;0;1;17;1;1;17;2;2;13;11;32;4;-1;0
23;0;Travel_Rarely;Research & Development;7;3;Other;2;0;2;Healthcare Representative;3;Single;3505;8;0;24;3;0;5;3;3;2;0;0;5;2;0
28;0;Travel_Rarely;Research & Development;25;2;Medical;3;0;2;Healthcare Representative;4;Divorced;2408;7;0;13;3;2;9;3;3;1;1;1;5;0;0
23;0;Travel_Rarely;Research & Development;10;4;Other;4;0;3;Healthcare Representative;4;Married;2904;2;1;13;4;0;5;2;4;4;3;2;5;4;0
31;0;Travel_Rarely;Research & Development;11;2;Medical;3;0;2;Healthcare Representative;1;Married;6172;2;1;13;3;1;10;3;3;7;3;0;2;-1;0
23;0;Travel_Rarely;Research & Development;4;4;Life Sciences;3;0;2;Healthcare Representative;3;Single;1601;7;0;14;2;0;5;2;3;0;0;0;5;5;0
46;0;Travel_Rarely;Research & Development;6;1;Medical;4;0;2;Healthcare Representative;1;Married;27247;4;0;15;1;1;9;3;3;6;6;6;0;-1;2
29;0;Travel_Rarely;Research & Development;18;4;Life Sciences;3;0;3;Healthcare Representative;3;Married;4262;1;1;14;4;2;10;2;4;3;2;0;5;1;0
54;0;Travel_Rarely;Research & Development;1;4;Other;3;1;4;Healthcare Representative;2;Married;5485;1;1;13;1;1;6;4;3;5;2;5;2;3;0
38;0;Travel_Rarely;Research & Development;18;1;Medical;1;0;3;Healthcare Representative;3;Married;9924;5;0;11;4;0;20;3;2;9;2;2;2;-1;0
25;0;Travel_Rarely;Research & Development;4;4;Life Sciences;4;1;3;Healthcare Representative;3;Married;2187;0;1;16;2;0;4;3;3;2;2;2;5;2;0
31;0;Travel_Rarely;Research & Development;12;3;Medical;4;1;3;Healthcare Representative;4;Married;5468;0;1;11;3;2;10;3;1;10;5;56;4;-1;0
19;0;Travel_Rarely;Research & Development;8;1;Other;3;0;1;Healthcare Representative;1;Married;2552;3;0;13;3;1;1;4;3;1;1;0;5;0;0
37;0;Travel_Rarely;Research & Development;15;2;Medical;2;1;3;Healthcare Representative;4;Married;3629;0;1;13;1;1;10;6;3;3;1;9;5;-1;0
42;0;Travel_Frequently;Research & Development;5;4;Life Sciences;2;0;3;Healthcare Representative;1;Married;6895;4;0;12;3;2;9;4;3;0;0;0;5;5;0
36;0;Travel_Frequently;Research & Development;1;4;Life Sciences;4;1;1;Healthcare Representative;3;Divorced;3755;2;1;13;4;1;12;3;3;8;2;3;2;-1;0
35;0;Travel_Rarely;Research & Development;2;1;Life Sciences;1;1;3;Healthcare Representative;4;Divorced;4788;1;0;19;4;1;6;2;4;3;3;3;5;1;0
32;0;Travel_Rarely;Research & Development;1;4;Life Sciences;2;0;4;Healthcare Representative;1;Married;2439;2;0;15;4;1;10;4;3;4;2;0;5;4;0
29;0;Travel_Rarely;Research & Development;1;4;Life Sciences;2;0;4;Healthcare Representative;4;Single;6623;0;0;13;3;0;10;2;2;0;0;0;5;5;0
28;0;Travel_Frequently;Research & Development;1;1;Life Sciences;3;0;2;Healthcare Representative;3;Married;4898;3;0;23;4;1;10;5;2;4;4;16;5;-1;0
28;0;Travel_Rarely;Research & Development;5;3;Life Sciences;2;0;4;Healthcare Representative;2;Single;4779;3;0;12;1;0;10;2;1;8;2;2;2;-1;0
43;0;Travel_Frequently;Research & Development;29;1;Life Sciences;4;1;1;Healthcare Representative;3;Divorced;5562;8;0;17;4;2;11;2;3;5;5;0;2;3;0
49;0;Travel_Frequently;Research & Development;20;4;Technical Degree;1;0;3;Healthcare Representative;4;Married;5130;4;0;20;4;1;14;3;3;10;1;100;1;-1;3
56;0;Travel_Rarely;Research & Development;8;3;Technical Degree;3;1;3;Healthcare Representative;3;Divorced;4257;1;0;13;2;3;17;3;3;2;2;4;5;2;0
41;0;Non-Travel;Research & Development;1;3;Life Sciences;1;0;3;Healthcare Representative;1;Married;2107;0;0;12;1;1;6;2;2;1;1;0;5;0;0
48;0;Travel_Rarely;Research & Development;2;2;Medical;3;0;4;Healthcare Representative;2;Married;5381;1;0;24;4;1;8;2;3;1;1;1;5;0;0
36;0;Travel_Rarely;Research & Development;2;4;Life Sciences;4;1;3;Healthcare Representative;1;Divorced;5238;2;0;11;1;1;16;3;4;1;0;0;5;0;0
48;0;Non-Travel;Research & Development;21;1;Life Sciences;4;0;3;Healthcare Representative;4;Married;16885;1;1;25;4;1;10;3;1;5;5;0;0;-1;0
32;1;Non-Travel;Research & Development;24;2;Technical Degree;2;0;2;Healthcare Representative;1;Single;4465;1;0;12;1;0;10;2;2;3;3;3;5;1;0
45;0;Travel_Rarely;Research & Development;10;3;Technical Degree;4;0;2;Healthcare Representative;4;Single;3697;6;0;15;4;0;20;3;3;10;3;3;2;-1;0
