,BusinessTravel,Department,EducationField,JobRole,MaritalStatus,AgeBin,AttritionCat,DistanceFromHomeBin,EducationCat,EnvironmentSatisfactionCat,GenderCat,JobInvolvementCat,JobSatisfactionCat,MonthlyIncomeBin,NumCompaniesWorkedBin,OverTimeCat,PercentSalaryHikeBin,RelationshipSatisfactionCat,StockOptionLevelCat,TotalWorkingYearsBin,TrainingTimesLastYearBin,WorkLifeBalanceCat,YearsWithCurrManagerBin
0,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Female,High_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
1,Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
2,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[28.0, 38.0)_Age",Yes_Attr,medium_Dist,College,Low_Sat,Male,Low_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
3,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,medium_Dist,College,High_Sat,Male,High_JobInv,Low_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
4,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[48.0, 58.04)_Age",No_Attr,near_Dist,Master,Low_Sat,Female,Medium_JobInv,Low_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,more 20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
5,Travel_Frequently,Research & Development,Medical,Healthcare Representative,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,High_JobInv,High_JobSat,medium_Inc,none_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
6,Travel_Frequently,Research & Development,Technical Degree,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Master,Very High_Sat,Female,High_JobInv,High_JobSat,medium_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
7,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Low_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
8,Non-Travel,Research & Development,Medical,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,far_Dist,Master,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
9,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Male,Medium_JobInv,Low_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Low_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
10,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,far_Dist,Bachelor,Medium_Sat,Male,Low_JobInv,Low_JobSat,low_Inc,some_Comp,Yes_OT,high_PSH,Medium_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
11,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,near_Dist,College,Medium_Sat,Male,Very High_JobInv,Low_JobSat,medium_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
12,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,High_JobInv,Very High_JobSat,high_Inc,none_Comp,Yes_OT,low_PSH,Medium_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
13,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,Very High_JobInv,Very High_JobSat,medium_Inc,none_Comp,No_OT,high_PSH,Low_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
14,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Low_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Medium_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
15,Travel_Frequently,Research & Development,Medical,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,High_JobInv,Low_JobSat,low_Inc,many_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
16,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,High_Sat,Male,Medium_JobInv,Medium_JobSat,medium_Inc,many_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
17,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,medium_Dist,Master,High_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,2_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
18,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,4-9 years_YWCM
19,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,High_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
20,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[48.0, 58.04)_Age",Yes_Attr,medium_Dist,Bachelor,Low_Sat,Male,High_JobInv,Very High_JobSat,medium_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
21,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[18.0, 28.0)_Age",No_Attr,near_Dist,Bachelor,Medium_Sat,Female,Medium_JobInv,Very High_JobSat,high_Inc,none_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
22,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[18.0, 28.0)_Age",No_Attr,medium_Dist,Master,Low_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
23,Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,Medium_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
24,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[48.0, 58.04)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,Medium_JobInv,Very High_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,Low_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
25,Travel_Frequently,Research & Development,Medical,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,High_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
26,Non-Travel,Research & Development,Technical Degree,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,far_Dist,Master,Very High_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Very High_RelSat,3_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,4-9 years_YWCM
27,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Very High_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
28,Travel_Rarely,Research & Development,Other,Healthcare Representative,Single,"[48.0, 58.04)_Age",No_Attr,near_Dist,Master,Low_Sat,Female,Medium_JobInv,High_JobSat,medium_Inc,some_Comp,Yes_OT,high_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
29,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,4-9 years_YWCM
30,Travel_Frequently,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,High_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
31,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,far_Dist,Bachelor,Medium_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,Medium_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
32,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,far_Dist,College,High_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,low_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
33,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Below College,High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,more 9 years_YWCM
34,Travel_Rarely,Research & Development,Other,Healthcare Representative,Single,"[18.0, 28.0)_Age",No_Attr,near_Dist,Bachelor,Medium_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
35,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,far_Dist,College,High_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,many_Comp,No_OT,low_PSH,High_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
36,Travel_Rarely,Research & Development,Other,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,medium_Dist,Master,Very High_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
37,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,College,High_Sat,Male,Medium_JobInv,Low_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
38,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[18.0, 28.0)_Age",No_Attr,near_Dist,Master,High_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
39,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,near_Dist,Below College,Very High_Sat,Male,Medium_JobInv,Low_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,Low_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
40,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Master,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,2_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
41,Travel_Rarely,Research & Development,Other,Healthcare Representative,Married,"[48.0, 58.04)_Age",No_Attr,near_Dist,Master,High_Sat,Female,Very High_JobInv,Medium_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
42,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,medium_Dist,Below College,Low_Sat,Male,High_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,more 20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
