Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,0,Travel_Rarely,625,Research & Development,4,3,Medical,4,1,50,3,2,Healthcare Representative,2,Single,3452,5197,9,Y,No,12,40.0,4,,0,10,3,2,5,2,2,3
36,0,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,3,0,37,2,3,Healthcare Representative,2,Divorced,9610,9255,2,Y,Yes,13,30.0,4,800.0,1,18,2,3,4,0,0,4
36,1,Travel_Rarely,1141,Research & Development,11,2,Medical,1,0,61,1,2,Healthcare Representative,2,Married,4678,14382,5,Y,No,15,30.0,1,800.0,0,15,2,1,6,0,0,0
24,0,Travel_Rarely,1332,Research & Development,11,2,Medical,3,0,80,3,2,Healthcare Representative,1,Married,2725,17089,1,Y,Yes,12,30.0,4,,0,6,3,2,6,5,0,1
58,0,Travel_Rarely,1456,Research & Development,1,4,Medical,1,1,30,2,3,Healthcare Representative,1,Single,10552,25796,3,Y,No,20,30.0,3,,0,23,3,2,6,6,6,6
39,0,Travel_Frequently,1297,Research & Development,1,4,Medical,2,0,44,3,2,Healthcare Representative,3,Single,12169,14511,0,,No,12,30.0,3,800.0,0,12,2,3,12,2,0,3
36,0,Travel_Frequently,325,Research & Development,10,4,Technical Degree,4,1,63,3,3,Healthcare Representative,3,Married,11591,5747,3,Y,No,12,40.0,1,,0,10,3,3,2,2,1,2
32,0,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,0,97,2,2,Healthcare Representative,3,Single,7677,13119,2,,No,13,40.0,4,,0,14,2,3,1,1,1,1
41,0,Non-Travel,583,Research & Development,25,4,Medical,3,0,57,3,3,Healthcare Representative,3,Divorced,6230,6975,1,Y,Yes,11,,3,,1,16,3,2,14,10,10,1
45,0,Travel_Rarely,975,Research & Development,7,3,Medical,4,0,55,2,2,Healthcare Representative,1,Single,9724,23398,8,Y,No,19,,1,,0,9,2,1,1,1,0,1
36,0,Travel_Rarely,1038,Research & Development,20,3,Medical,2,0,95,1,3,Healthcare Representative,1,Divorced,3230,19863,2,Y,Yes,18,30.0,2,800.0,1,18,4,3,1,1,0,1
44,0,Travel_Rarely,675,Research & Development,5,2,Life Sciences,2,0,85,4,2,Healthcare Representative,1,Divorced,15505,18384,1,,No,12,,4,,2,6,4,3,3,3,1,3
36,0,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,3,1,82,3,2,Healthcare Representative,4,Divorced,38989,4204,0,Y,Yes,11,30.0,2,800.0,2,6,2,3,6,0,1,0
45,0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,1,48,4,3,Healthcare Representative,4,Divorced,23333,10942,0,Y,No,17,30.0,1,,3,19,2,2,5,5,3,5
32,0,Travel_Rarely,574,Research & Development,11,3,Life Sciences,1,1,30,3,3,Healthcare Representative,3,Married,3312,16873,1,Y,No,17,,2,,1,10,3,3,3,3,0,3
34,0,Travel_Frequently,644,Research & Development,1,4,Medical,4,1,97,3,3,Healthcare Representative,1,Divorced,4444,12368,7,,No,16,30.0,3,800.0,1,16,2,3,11,2,0,3
35,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,0,97,2,2,Healthcare Representative,2,Single,10221,19394,9,Y,No,19,40.0,3,800.0,0,10,3,3,8,1,0,0
46,0,Travel_Rarely,135,Research & Development,18,4,Medical,3,0,62,3,2,Healthcare Representative,2,Married,5562,12992,3,,Yes,14,30.0,4,,2,17,2,3,10,7,6,7
41,0,Travel_Rarely,1296,Research & Development,6,3,Life Sciences,3,1,30,3,2,Healthcare Representative,4,Divorced,3376,5335,3,Y,No,23,30.0,3,,1,15,2,1,10,10,4,7
36,0,Travel_Rarely,530,Research & Development,1,4,Life Sciences,3,0,78,2,4,Healthcare Representative,2,Married,1081,14115,1,Y,No,22,30.0,4,,1,18,3,2,1,1,1,1
55,1,Travel_Rarely,621,Research & Development,15,3,Medical,1,0,73,3,3,Healthcare Representative,4,Married,10239,14075,1,,No,11,30.0,4,800.0,1,10,4,3,1,1,0,1
26,0,Travel_Rarely,1069,Research & Development,1,3,Life Sciences,2,1,42,2,2,Healthcare Representative,4,Single,35075,12291,0,Y,No,14,40.0,1,,0,6,2,3,6,0,1,4
27,0,Travel_Rarely,670,Research & Development,10,4,Medical,1,1,51,3,2,Healthcare Representative,3,Single,3517,4223,3,Y,Yes,16,30.0,3,,0,9,2,3,3,2,0,3
29,0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,1,80,2,2,Healthcare Representative,3,Single,2800,20978,1,,No,11,30.0,1,800.0,0,11,3,3,3,3,3,3
53,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,1,99,2,2,Healthcare Representative,4,Married,10934,15830,1,Y,No,19,30.0,1,,3,11,2,3,5,5,5,5
36,0,Travel_Frequently,1495,Research & Development,10,3,Medical,3,1,76,3,2,Healthcare Representative,3,Married,5257,22174,3,Y,No,19,30.0,3,800.0,1,18,3,3,9,0,0,0
45,0,Non-Travel,1368,Research & Development,28,4,Technical Degree,4,0,88,2,2,Healthcare Representative,4,Married,4447,4386,0,,No,11,30.0,4,,3,7,5,4,7,5,0,4
36,0,Travel_Rarely,1029,Research & Development,16,3,Life Sciences,4,0,91,2,3,Healthcare Representative,2,Single,2660,21195,1,Y,No,19,30.0,4,800.0,0,11,2,1,2,2,2,2
48,0,Travel_Rarely,509,Research & Development,2,4,Other,1,1,62,2,2,Healthcare Representative,3,Single,12504,2112,2,,Yes,17,40.0,1,,0,10,3,3,0,0,0,0
36,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,4,1,40,3,3,Healthcare Representative,4,Married,3291,18611,2,Y,Yes,14,,3,800.0,1,18,2,1,7,7,7,7
36,0,Travel_Frequently,208,Research & Development,8,4,Life Sciences,3,1,52,3,2,Healthcare Representative,3,Married,2157,12250,1,,No,12,30.0,4,,1,15,5,3,3,3,2,3
38,0,Travel_Rarely,1463,Research & Development,23,3,Medical,2,0,64,2,2,Healthcare Representative,4,Married,4855,14408,0,,No,21,30.0,2,800.0,1,10,2,3,5,0,5,5
26,0,Travel_Rarely,1385,Research & Development,20,2,Medical,3,0,79,3,4,Healthcare Representative,4,Married,2373,7501,0,Y,Yes,14,30.0,2,,0,8,2,3,3,3,3,3
36,0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,3,1,68,3,2,Healthcare Representative,4,Married,4502,4821,0,Y,Yes,17,30.0,1,800.0,1,17,2,2,13,8,4,11
23,0,Travel_Rarely,1261,Research & Development,7,3,Other,2,0,31,2,3,Healthcare Representative,3,Single,3505,12066,8,Y,No,24,30.0,3,800.0,0,5,3,3,2,2,0,0
28,0,Travel_Rarely,367,Research & Development,25,2,Medical,3,0,52,2,2,Healthcare Representative,4,Divorced,2408,17171,7,Y,No,13,30.0,3,800.0,2,9,3,3,1,1,1,1
23,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,0,41,3,2,Healthcare Representative,4,Married,2904,19121,2,Y,Yes,13,,4,800.0,0,5,2,4,4,2,1,3
31,0,Travel_Rarely,1097,Research & Development,11,2,Medical,3,0,79,2,3,Healthcare Representative,1,Married,6172,8302,2,Y,Yes,13,30.0,3,,1,10,3,3,7,0,2,3
23,0,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,3,0,78,2,3,Healthcare Representative,3,Single,1601,22245,7,Y,No,14,40.0,2,800.0,0,5,2,3,0,0,0,0
46,0,Travel_Rarely,613,Research & Development,6,1,Medical,4,0,42,2,3,Healthcare Representative,1,Married,27247,21457,4,,No,15,30.0,1,,1,9,3,3,6,6,1,6
29,0,Travel_Rarely,1199,Research & Development,18,4,Life Sciences,3,0,80,3,2,Healthcare Representative,3,Married,4262,24594,1,Y,Yes,14,30.0,4,800.0,2,10,2,4,3,2,0,2
54,0,Travel_Rarely,827,Research & Development,1,4,Other,3,1,84,4,2,Healthcare Representative,2,Married,5485,20161,1,Y,Yes,13,30.0,1,,1,6,4,3,5,5,1,2
38,0,Travel_Rarely,1034,Research & Development,18,1,Medical,1,0,86,3,3,Healthcare Representative,3,Married,9924,8984,5,Y,No,11,30.0,4,,0,20,3,2,9,2,1,2
25,0,Travel_Rarely,1229,Research & Development,4,4,Life Sciences,4,1,30,3,2,Healthcare Representative,3,Married,2187,16143,0,,Yes,16,30.0,2,800.0,0,4,3,3,2,2,1,2
31,0,Travel_Rarely,616,Research & Development,12,3,Medical,4,1,41,3,2,Healthcare Representative,4,Married,5468,17369,0,Y,Yes,11,30.0,3,,2,10,3,1,10,7,8,5
19,0,Travel_Rarely,441,Research & Development,8,1,Other,3,0,39,1,2,Healthcare Representative,1,Married,2552,7288,3,,No,13,,3,,1,1,4,3,1,1,0,1
37,0,Travel_Rarely,501,Research & Development,15,2,Medical,2,1,95,3,2,Healthcare Representative,4,Married,3629,21653,0,Y,Yes,13,30.0,1,800.0,1,10,6,3,3,3,3,1
42,0,Travel_Frequently,711,Research & Development,5,4,Life Sciences,2,0,42,3,3,Healthcare Representative,1,Married,6895,22792,4,,No,12,30.0,3,800.0,2,9,4,3,0,0,0,0
36,0,Travel_Frequently,390,Research & Development,1,4,Life Sciences,4,1,32,1,2,Healthcare Representative,3,Divorced,3755,17056,2,Y,Yes,13,30.0,4,,1,12,3,3,8,3,1,2
35,0,Travel_Rarely,995,Research & Development,2,1,Life Sciences,1,1,87,3,2,Healthcare Representative,4,Divorced,4788,24483,1,,No,19,30.0,4,800.0,1,6,2,4,3,3,1,3
32,0,Travel_Rarely,170,Research & Development,1,4,Life Sciences,2,0,78,4,2,Healthcare Representative,1,Married,2439,9364,2,Y,No,15,,4,,1,10,4,3,4,0,2,2
29,0,Travel_Rarely,827,Research & Development,1,4,Life Sciences,2,0,33,4,2,Healthcare Representative,4,Single,6623,19383,0,Y,No,13,30.0,3,,0,10,2,2,0,0,0,0
