Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
37;No;Travel_Rarely;625;Research & Development;4;3;Medical;4;Female;50;3;2;Healthcare Representative;2;Single;3452;5197;9;Y;No;12;40.0;4;;0;10;3;2;5;2;2;3
36;No;Travel_Rarely;1272;Research & Development;5;3;Technical Degree;3;Male;37;2;3;Healthcare Representative;2;Divorced;9610;9255;2;Y;Yes;13;30.0;4;800.0;1;24;2;3;4;0;0;4
36;Yes;Travel_Rarely;1141;Research & Development;11;2;Medical;1;Male;61;1;2;Healthcare Representative;2;Married;4678;14382;5;Y;No;15;30.0;1;800.0;0;15;2;1;6;0;0;0
24;No;Travel_Rarely;1332;Research & Development;11;2;Medical;3;Male;80;3;2;Healthcare Representative;1;Married;2725;17089;1;Y;Yes;12;30.0;4;;0;6;3;2;6;5;0;1
58;No;Travel_Rarely;1456;Research & Development;1;4;Medical;1;Female;30;2;3;Healthcare Representative;1;Single;10552;25796;3;Y;No;20;30.0;3;;0;23;3;2;6;12;12;8
39;No;Travel_Frequently;1297;Research & Development;1;4;Medical;2;Male;44;3;2;Healthcare Representative;3;Single;12169;14511;4;;No;12;30.0;3;800.0;0;12;2;3;18;2;0;3
36;No;Travel_Frequently;325;Research & Development;10;4;Technical Degree;4;Female;63;3;3;Healthcare Representative;3;Married;11591;5747;3;Y;No;12;40.0;1;;0;10;3;3;2;7;1;7
32;No;Travel_Rarely;277;Research & Development;6;3;Life Sciences;1;Male;97;2;2;Healthcare Representative;3;Single;7677;13119;2;;No;13;40.0;4;;0;19;2;3;1;2;2;2
41;No;Non-Travel;583;Research & Development;25;4;Medical;3;Male;57;3;3;Healthcare Representative;3;Divorced;6230;6975;1;Y;Yes;11;;3;;1;16;3;2;14;10;10;1
45;No;Travel_Rarely;975;Research & Development;7;3;Medical;4;Male;55;2;2;Healthcare Representative;1;Single;9724;23398;8;Y;No;19;;1;;0;9;2;1;1;6;0;7
36;No;Travel_Rarely;1038;Research & Development;20;3;Medical;2;Male;95;1;3;Healthcare Representative;1;Divorced;3230;19863;2;Y;Yes;18;30.0;2;800.0;1;24;4;3;1;7;0;7
44;No;Travel_Rarely;675;Research & Development;5;2;Life Sciences;2;Male;85;4;2;Healthcare Representative;1;Divorced;15505;18384;1;;No;12;;4;;2;6;4;3;3;3;1;5
36;No;Travel_Rarely;1329;Research & Development;7;3;Life Sciences;3;Female;82;3;2;Healthcare Representative;4;Divorced;38989;4204;1;Y;Yes;11;30.0;2;800.0;2;6;2;3;9;0;1;0
