Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
370;No;Travel_Rarely;625;Research & Development;4;3;Medical;4;Female;50;3;2;Healthcare Representative;2;Single;34520;5197;9;Y;No;12;40;4;;0;10;30;2;50;2;2;3
;No;Travel_Rarely;1272;Research & Development;5;3;Technical Degree;3;Male;37;2;3;Healthcare Representative;2;Divorced;96100;9255;2;Y;Yes;13;30;4;800;1;24;20;3;40;0;0;4
360;Yes;Travel_Rarely;1141;Research & Development;11;2;Medical;1;Male;61;1;2;Healthcare Representative;2;Married;46780;14382;5;Y;No;15;30;1;800;0;15;;1;60;0;0;0
240;No;Travel_Rarely;1332;Research & Development;11;2;Medical;3;Male;80;3;2;Healthcare Representative;1;Married;27250;17089;1;Y;Yes;12;30;4;;0;6;30;2;60;5;0;1
580;No;Travel_Rarely;1456;Research & Development;1;4;Medical;1;Female;30;2;3;Healthcare Representative;1;Single;105520;25796;3;Y;No;20;30;3;;0;23;30;2;60;12;12;8
390;No;Travel_Frequently;1297;Research & Development;1;4;Medical;2;Male;44;3;2;Healthcare Representative;3;Single;121690;14511;4;;No;12;30;3;800;0;12;;3;180;2;0;3
;No;Travel_Frequently;325;Research & Development;10;4;Technical Degree;4;Female;63;3;3;Healthcare Representative;3;Married;;5747;3;Y;No;12;40;1;;0;10;30;3;20;7;1;7
320;No;Travel_Rarely;277;Research & Development;6;3;Life Sciences;1;Male;97;2;2;Healthcare Representative;3;Single;;13119;2;;No;13;40;4;;0;19;20;3;10;2;2;2
410;No;Non-Travel;583;Research & Development;25;4;Medical;3;Male;57;3;3;Healthcare Representative;3;Divorced;62300;6975;1;Y;Yes;11;;3;;1;16;30;2;140;10;10;1
450;No;Travel_Rarely;975;Research & Development;7;3;Medical;4;Male;55;2;2;Healthcare Representative;1;Single;97240;23398;8;Y;No;19;;1;;0;9;20;1;10;6;0;7
;No;Travel_Rarely;1038;Research & Development;20;3;Medical;2;Male;95;1;3;Healthcare Representative;1;Divorced;32300;19863;2;Y;Yes;18;30;2;800;1;24;40;3;;7;0;7
440;No;Travel_Rarely;675;Research & Development;5;2;Life Sciences;2;Male;85;4;2;Healthcare Representative;1;Divorced;;18384;1;;No;12;;4;;2;6;40;3;30;3;1;5
;No;Travel_Rarely;1329;Research & Development;7;3;Life Sciences;3;Female;82;3;2;Healthcare Representative;4;Divorced;;4204;1;Y;Yes;11;30;2;800;2;6;20;3;90;0;1;0
450;No;Travel_Rarely;1132;Research & Development;1;3;Medical;3;Female;48;4;3;Healthcare Representative;4;Divorced;;10942;0;Y;No;17;30;1;;3;19;;2;50;10;3;7
320;No;Travel_Rarely;574;Research & Development;11;3;Life Sciences;1;Female;30;3;3;Healthcare Representative;3;Married;33120;16873;1;Y;No;17;;2;;1;10;30;3;30;9;0;9
340;No;Travel_Frequently;644;Research & Development;1;4;Medical;4;Female;97;3;3;Healthcare Representative;1;Divorced;44440;12368;7;;No;16;30;3;800;1;17;20;3;110;2;0;3
350;No;Travel_Rarely;755;Research & Development;9;4;Life Sciences;3;Male;97;2;2;Healthcare Representative;2;Single;102210;19394;9;Y;No;19;40;3;800;0;10;30;3;80;1;0;0
460;No;Travel_Rarely;135;Research & Development;18;4;Medical;3;Male;62;3;2;Healthcare Representative;2;Married;55620;12992;3;;Yes;14;30;4;;2;17;;3;100;7;6;7
410;No;Travel_Rarely;1296;Research & Development;6;3;Life Sciences;3;Female;30;3;2;Healthcare Representative;4;Divorced;33760;5335;3;Y;No;23;30;3;;1;15;;1;100;11;4;7
;No;Travel_Rarely;530;Research & Development;1;4;Life Sciences;3;Male;78;2;4;Healthcare Representative;2;Married;10810;14115;1;Y;No;22;30;4;;1;22;30;2;10;3;11;11
550;Yes;Travel_Rarely;621;Research & Development;15;3;Medical;1;Male;73;3;3;Healthcare Representative;4;Married;102390;14075;1;;No;11;30;4;800;1;10;40;3;10;7;0;5
260;No;Travel_Rarely;1069;Research & Development;1;3;Life Sciences;2;Female;42;2;2;Healthcare Representative;4;Single;;12291;0;Y;No;14;40;1;;0;6;;3;80;0;1;4
270;No;Travel_Rarely;670;Research & Development;10;4;Medical;1;Female;51;3;2;Healthcare Representative;3;Single;35170;4223;3;Y;Yes;16;30;3;;0;10;;3;30;2;0;4
290;No;Travel_Rarely;408;Research & Development;2;4;Technical Degree;4;Female;80;2;2;Healthcare Representative;3;Single;28000;20978;1;;No;11;30;1;800;0;20;30;3;30;7;11;10
530;No;Travel_Rarely;288;Research & Development;2;3;Life Sciences;3;Female;99;2;2;Healthcare Representative;4;Married;109340;15830;1;Y;No;19;30;1;;3;11;;3;50;10;10;8
;No;Travel_Frequently;1495;Research & Development;10;3;Medical;3;Female;76;3;2;Healthcare Representative;3;Married;52570;22174;3;Y;No;19;30;3;800;1;18;30;3;90;0;0;0
450;No;Non-Travel;1368;Research & Development;28;4;Technical Degree;4;Male;88;2;2;Healthcare Representative;4;Married;44470;4386;0;;No;11;30;4;;3;7;50;4;90;5;0;4
;No;Travel_Rarely;1029;Research & Development;16;3;Life Sciences;4;;91;2;3;Healthcare Representative;2;Single;26600;21195;1;Y;No;19;30;4;800;0;11;;1;20;8;3;3
